striker,strike_rate,half_centuries,centuries,boundary_percentage,normal_runs
UA Birla,46.67,0,0,6.67,3.0
UBT Chand,95.54,1,0,13.06,103.0
UT Khawaja,120.95,0,0,16.19,45.0
UT Yadav,100.0,0,0,12.24,74.0
Umar Gul,205.26,0,0,31.58,5.0
Umran Malik,143.75,0,0,18.75,5.0
V Kohli,126.73,51,7,15.35,2826.0
V Pratap Singh,0.0,0,0,0.0,0.0
V Sehwag,148.83,16,2,24.0,656.0
V Shankar,126.63,6,0,14.23,413.0
VG Arora,50.0,0,0,0.0,7.0
VH Zol,111.54,0,0,15.38,9.0
VR Aaron,68.49,0,0,5.48,26.0
VR Iyer,125.46,7,1,16.8,318.0
VRV Singh,133.33,0,0,33.33,0.0
VS Malik,100.0,0,0,14.29,3.0
VS Yeligati,100.0,0,0,0.0,1.0
VVS Laxman,104.06,1,0,14.02,110.0
VY Mahesh,53.57,0,0,0.0,13.0
Vijaykumar Vyshak,130.0,0,0,10.0,6.0
Virat Singh,57.69,0,0,3.85,11.0
Vishnu Vinod,96.55,0,0,10.34,25.0
Vivrant Sharma,140.82,1,0,22.45,20.0
W Jaffer,100.78,1,0,13.18,48.0
WA Mota,73.68,0,0,2.63,44.0
WD Parnell,75.58,0,0,5.81,38.0
WP Saha,124.47,13,1,16.1,1007.0
WPUJC Vaas,110.96,0,0,6.85,44.0
Washington Sundar,111.18,0,0,12.06,165.0
X Thalaivan Sargunam,58.82,0,0,0.0,8.0
Y Gnaneswara Rao,105.56,0,0,16.67,6.0
Y Nagar,105.17,0,0,10.7,129.0
Y Prithvi Raj,0.0,0,0,0.0,0.0
Y Venugopal Rao,113.87,3,0,13.18,396.0
YA Abdulla,0.0,0,0,0.0,0.0
YBK Jaiswal,145.23,8,1,23.92,270.0
YK Pathan,138.05,14,1,18.17,1038.0
YS Chahal,41.57,0,0,0.0,32.0
YV Dhull,69.57,0,0,4.35,12.0
YV Takawale,104.92,0,0,15.85,54.0
Yash Dayal,0.0,0,0,0.0,0.0
Yashpal Singh,70.15,0,0,7.46,23.0
Younis Khan,42.86,0,0,0.0,3.0
Yudhvir Singh,50.0,0,0,0.0,1.0
Yuvraj Singh,124.78,13,0,16.63,863.0
Z Khan,82.98,0,0,9.22,54.0
